Code,Names,"
Credits",Year,Semester 
,English for General Purposes,10,1,1
AF80132,Principles of Management,10,1,1
AF80131,"Introduction to Financial 
Accounting",15,1,1
AF80133,Business Mathematics,10,1,1
BT80132,Information Technology ,10,1,1
AF80134,Entrepreneurship and Innovation,10,1,1
CL80311,English for Specific Purposes,10,2,1
AF80335,Financial Management,10,2,1
TL80333,Transport Economics,10,2,1
CL80511 ,English for Academic Purposes,10,3,1
TL80531,Air Transport Management,10,3,1
TL80533,Rural and Urban Transportation,15,3,1
